length_url,length_hostname,ip,nb_dots,nb_hyphens,nb_at,nb_qm,nb_and,nb_or,nb_eq,nb_underscore,nb_tilde,nb_percent,nb_slash,nb_star,nb_colon,nb_comma,nb_semicolumn,nb_dollar,nb_space,nb_www,nb_com,nb_dslash,http_in_path,https_token,ratio_digits_url,ratio_digits_host,punycode,port,tld_in_path,tld_in_subdomain,abnormal_subdomain,nb_subdomains,prefix_suffix,random_domain,shortening_service,path_extension,nb_redirection,nb_external_redirection,length_words_raw,char_repeat,shortest_words_raw,shortest_word_host,shortest_word_path,longest_words_raw,longest_word_host,longest_word_path,avg_words_raw,avg_word_host,avg_word_path,phish_hints,domain_in_brand,brand_in_subdomain,brand_in_path,suspecious_tld,nb_extCSS,ratio_intRedirection,ratio_extRedirection,ratio_intErrors,ratio_extErrors,login_form,submit_email,sfh,iframe,popup_window,onmouseover,right_clic,empty_title,domain_in_title,domain_with_copyright,status
44,18,0,3,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,4,11,4,11,11,7,6.75,11,5.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
28,21,0,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0.035714286,0.047619048,0,0,0,0,0,2,0,0,1,0,1,0,2,0,8,8,0,8,8,0,8,8,0,0,1,0,0,0,0,0,0.846153846,0,0.615384615,0,0,0,0,0,0,0,0,1,0,1
56,15,0,2,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,1,0,0,0,0,0.071428571,0,0,0,0,0,0,2,0,0,0,0,0,0,4,4,3,3,7,24,7,24,10.25,5,15.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
110,30,0,2,1,0,1,0,0,1,0,0,0,6,0,3,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,2,1,0,1,0,1,0,9,1,1,2,1,46,12,46,9.777777778,8,10.66666667,0,0,0,0,0,0,0,0,0,0.086956522,0,0,0,0,0,0,0,0,1,0,1
40,17,0,3,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,1,0,6,3,1,3,1,9,9,4,4,6,3,0,0,0,0,0,0,0,0.13559322,0,0.644067797,0,0,0,0,0,0,0,0,0,0,0
62,16,0,2,2,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,1,0,0,0,0,0.080645161,0,0,0,0,0,0,2,0,0,0,0,0,0,8,6,2,3,2,9,8,9,5.25,5.5,5.166666667,0,0,0,0,0,0,0,0.166666667,0,0,0,0,0,0,0,0,0,0,1,1,0
62,17,0,2,5,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,1,0,0,0,1,0.016129032,0,0,0,0,0,0,2,0,0,0,0,1,0,9,5,3,3,3,9,9,7,4.666666667,6,4.285714286,0,0,0,0,0,1,0,0.153846154,0,0.192307692,1,0,0,0,0,0,0,0,1,0,0
69,20,0,2,1,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,7,0,3,3,3,15,12,15,7.428571429,7.5,7.4,1,0,0,0,1,0,0,0.057692308,0,0.038461538,1,0,0,0,0,0,0,0,1,1,1
24,16,0,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,3,0,2,3,3,3,0,8,8,0,5.5,5.5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
45,10,1,2,1,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,1,0.222222222,0,0,0,0,0,0,2,1,1,0,0,0,0,5,0,3,3,3,12,3,12,6.2,3,8.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
26,17,0,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,4,3,3,0,10,10,0,6.5,6.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,24,0,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,2,3,3,3,0,16,16,0,9.5,9.5,0,0,0,0,0,0,1,0,0,0,0.071428571,1,0,0,0,0,0,0,0,1,1,0
36,29,0,2,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,3,1,6,6,0,9,9,0,7.666666667,7.666666667,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
55,18,0,4,1,0,0,0,0,0,1,0,0,5,0,1,0,0,0,0,0,0,0,0,1,0.109090909,0,0,0,0,0,0,3,1,0,0,0,1,0,9,1,2,3,2,8,5,8,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
25,16,0,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,3,3,3,0,9,9,0,6,6,0,0,0,0,0,0,1,0,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0
59,20,0,4,0,0,1,0,0,1,0,0,0,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,3,3,3,4,12,12,7,5.714285714,7.5,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
31,23,0,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,3,6,6,0,12,12,0,9,9,0,0,0,0,0,0,0,0,0.142857143,0,0.142857143,0,0,0,0,0,0,0,0,1,1,1
96,7,0,3,0,0,1,1,0,2,0,0,6,3,0,1,0,0,0,0,1,0,0,1,0,0.114583333,0,0,0,0,0,0,3,0,0,0,0,0,0,13,5,2,4,2,22,4,22,5.538461538,4,5.666666667,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
27,19,0,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,4,3,3,0,12,12,0,7.5,7.5,0,0,0,0,0,0,0,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0,1,0
44,17,0,3,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,1,0,5,4,3,3,3,9,9,9,5.6,6,5.333333333,0,0,0,0,0,1,0,0.076923077,0,0,1,0,0,0,0,0,0,0,1,1,0
47,18,0,2,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,5,3,3,3,4,10,10,7,6,6.5,5.666666667,0,0,0,0,0,2,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0
32,24,0,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,2,1,8,8,0,11,11,0,9.5,9.5,0,0,1,0,0,0,4,0,0.142857143,0,0,0,0,0,0,0,0,0,0,1,1,0
46,17,0,2,1,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,4,3,3,3,8,11,9,11,7.75,6,9.5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,18,0,2,0,0,0,0,0,0,1,0,0,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,5,0,4,4,7,12,9,12,8.2,6.5,9.333333333,0,0,0,0,0,0,0,0.727272727,0,0,0,0,0,0,0,0,0,0,1,1,0
21,12,0,1,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,7,7,0,7,7,0,7,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
50,15,0,2,2,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,1,0,6,5,2,3,2,9,7,9,5.5,5,5.75,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
53,35,1,4,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0.264150943,0.4,0,0,0,0,0,3,0,0,1,0,0,0,6,2,1,1,3,18,18,5,6,7,4,0,0,0,0,0,1,0,0.176470588,0,0,0,0,0,0,0,0,0,0,1,1,1
68,59,0,4,7,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0.088235294,0.101694915,0,0,0,0,0,3,0,0,1,0,0,0,11,3,1,1,0,7,7,0,4.090909091,4.090909091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
45,21,0,2,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,3,3,3,5,13,13,8,7.25,8,6.5,0,0,0,0,0,2,0,0.434782609,0,0.086956522,0,0,0,0,0,0,0,0,1,0,0
29,21,0,2,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0.068965517,0.095238095,0,0,0,0,0,2,1,0,0,0,1,0,3,1,4,4,0,8,8,0,5.333333333,5.333333333,0,0,0,0,0,0,1,0,0.285714286,0,0,0,0,0,0,0,0,0,0,1,1,1
68,18,0,6,0,1,1,0,0,1,0,0,0,5,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,11,3,2,3,2,7,7,5,4,5,3.777777778,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
61,24,0,3,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,3,1,3,1,16,16,8,6.285714286,9.5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
94,20,0,3,0,0,1,0,0,1,1,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0.074468085,0,0,0,0,0,0,3,0,0,0,0,0,0,9,1,2,4,2,23,11,23,8.222222222,7.5,8.428571429,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
31,22,0,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,2,1,8,8,0,9,9,0,8.5,8.5,0,0,1,0,0,0,6,0,0.203703704,0,0.018518519,0,0,0,0,0,0,0,0,1,1,0
71,11,0,2,1,0,0,0,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,1,0,9,1,1,8,1,9,8,9,5.888888889,8,5.625,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
50,15,0,3,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,2,0,6,3,2,3,2,12,7,12,5.666666667,5,6,0,0,0,0,0,0,0,0.71875,0,0,0,0,0,0,0,0,0,0,1,1,0
92,22,1,2,1,0,0,0,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0,1,0.141304348,0,0,0,0,0,0,2,1,0,0,0,0,0,7,1,2,15,2,32,15,32,10.14285714,15,9.333333333,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
78,17,0,3,4,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3,1,0,0,0,2,0,9,4,2,3,2,11,6,11,6.111111111,4.5,6.571428571,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
69,20,1,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0.391304348,0,0,0,0,0,0,2,0,0,0,0,0,0,3,2,4,4,40,40,11,40,18.33333333,7.5,40,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
78,69,1,4,2,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0.115384615,0.130434783,0,0,0,0,0,3,0,0,1,0,0,0,6,3,1,1,0,36,36,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
27,18,0,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,2,6,3,3,0,11,11,0,7,7,0,0,0,0,0,0,2,0,0.111111111,0,0.111111111,0,0,0,0,0,0,0,0,1,1,0
29,18,0,2,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,3,2,3,2,10,10,2,5,6.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
73,16,1,5,0,0,1,0,0,1,0,0,0,7,0,2,0,0,0,0,1,0,1,1,1,0.123287671,0,0,0,0,0,0,3,0,0,0,0,0,0,11,6,1,3,1,9,8,9,4.545454545,5.5,4.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
75,18,0,3,0,1,1,0,0,1,0,0,0,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,9,2,3,14,3,14,14,8,6.111111111,14,5.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
84,13,1,3,4,0,0,0,0,0,2,0,3,5,0,1,0,0,0,1,1,0,0,0,1,0.333333333,0,0,0,0,0,0,3,0,1,0,0,0,0,15,6,1,3,1,9,5,9,3.933333333,4,3.923076923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
127,50,1,4,1,0,1,2,0,3,2,0,0,5,0,1,0,0,0,0,0,1,0,0,1,0.149606299,0,0,0,0,1,0,3,1,0,0,0,0,0,13,2,2,3,2,17,13,17,7.769230769,8.4,7.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
75,17,0,3,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,3,0,8,3,2,3,2,12,9,12,7.125,6,7.5,0,0,0,0,0,1,0,0.104166667,0,0,0,0,0,0,0,0,0,0,1,0,0
36,7,0,1,1,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,4,1,4,4,5,7,4,7,5.5,4,6,0,0,0,0,0,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0
24,15,0,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,4,3,3,0,7,7,0,5,5,0,0,0,0,0,0,2,0,0.142857143,0,0.095238095,0,0,0,0,0,0,0,0,1,0,0
58,16,0,2,0,0,0,0,0,0,4,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0.017241379,0,0,0,0,0,0,2,0,0,0,0,0,0,8,0,2,2,2,9,9,8,4.875,5.5,4.666666667,0,1,0,0,0,0,0,0.25,0,0.05,0,0,0,0,0,0,0,0,0,0,0
142,34,0,2,2,0,1,0,0,1,3,0,0,7,0,3,0,0,0,0,0,0,0,0,0,0.028169014,0,0,0,0,0,0,2,1,0,1,0,0,0,14,1,1,2,1,17,16,17,8.214285714,9.333333333,7.909090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
67,21,0,2,4,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,7,0,4,7,4,11,9,11,7.142857143,8,6.8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
42,19,0,3,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,2,3,6,3,8,8,5,5.2,7,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
52,16,0,2,0,0,1,0,0,1,0,0,1,3,0,1,0,0,0,1,1,0,0,0,1,0.115384615,0,0,0,0,0,0,2,0,0,1,0,1,0,6,6,3,3,3,12,8,12,6,5.5,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
95,12,0,2,7,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,13,4,3,3,3,10,4,10,5.461538462,3.5,5.818181818,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
49,24,0,3,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,1,0,4,4,3,3,4,16,16,12,8.75,9.5,8,0,0,0,0,0,0,0,0,0,0.666666667,0,0,0,0,0,0,0,0,1,0,0
101,15,0,2,1,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0.108910891,0,0,0,0,0,0,2,1,0,0,0,0,0,8,3,1,4,1,34,6,34,10.25,5,12,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
81,31,0,2,4,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,7,1,4,4,4,22,22,11,9,13,7.4,0,0,0,0,0,7,0,0.02,0,0.06,1,0,0,0,0,0,0,0,1,1,0
132,16,1,3,0,0,1,0,0,1,2,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0.03030303,0,0,0,0,0,0,3,0,0,0,0,0,0,8,40,2,5,2,43,6,43,14,5.5,16.83333333,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
30,22,0,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,4,3,3,0,15,15,0,9,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
31,17,0,1,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,5,13,5,13,13,5,9,13,5,0,0,0,0,0,0,0,0.111111111,0,0.018518519,0,0,0,0,0,0,0,0,1,1,0
46,16,0,2,0,0,0,0,0,0,1,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,0,2,2,4,9,9,8,6,5.5,6.333333333,0,1,0,0,0,0,0,0.606060606,0,0.181818182,0,0,0,0,0,0,0,0,0,1,0
78,17,1,1,7,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,1,0.08974359,0,0,0,0,0,0,1,1,0,0,0,1,0,11,1,3,6,3,7,7,7,5.181818182,6.5,4.888888889,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
21,13,0,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,2,3,3,3,0,6,6,0,4.5,4.5,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,1,0
52,11,0,3,0,0,0,0,0,0,1,0,0,5,0,1,0,0,0,0,0,0,0,0,1,0.076923077,0,0,0,0,0,0,3,0,1,0,0,1,0,6,1,2,5,2,11,5,11,5.666666667,5,5.8,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,1,1,1
74,14,1,4,1,0,1,0,0,1,0,0,4,3,0,1,0,0,0,0,1,1,0,1,0,0.148648649,0,0,0,1,0,0,3,0,0,0,0,0,0,12,5,2,3,2,11,6,11,4.25,4.5,4.2,0,1,0,0,0,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0
108,25,0,4,1,1,1,0,0,0,0,0,1,6,0,1,0,0,0,0,1,1,0,0,1,0.037037037,0,0,0,1,0,0,3,1,0,0,0,1,0,12,4,2,3,2,23,17,23,7.166666667,10,6.6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
125,50,1,4,1,0,1,2,0,3,2,0,0,4,0,1,0,0,0,0,0,1,0,0,0,0.192,0,0,0,0,1,0,3,1,0,0,0,1,0,12,6,2,3,2,17,13,17,8.25,8.4,8.142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
17,9,0,1,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,6,6,0,6,6,0,6,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
43,14,0,2,0,0,0,0,0,0,2,0,0,4,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,6,6,2,3,2,10,6,10,4.5,4.5,4.5,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,1,0
18,11,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,6,6,0,6,6,0,6,6,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,1,0
60,18,0,4,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,1,0.15,0,0,0,0,0,0,3,0,0,0,0,1,0,9,2,2,3,2,10,10,7,4.555555556,6.5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
47,27,0,2,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0.085106383,0.148148148,0,0,0,0,0,2,0,0,0,0,1,0,4,6,2,8,2,14,14,8,8,11,5,0,0,0,0,0,0,0,0.285714286,0,0.071428571,0,0,0,0,0,0,0,0,0,0,1
259,13,0,6,0,0,1,0,0,0,0,0,0,5,0,1,0,0,0,0,1,2,0,0,1,0.181467181,0,0,0,1,0,0,3,0,0,0,0,0,0,10,8,1,9,1,200,9,200,23.9,9,25.55555556,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
